CBO Ocupação 2002;CNAE 2.0 Classe;Faixa Etária;Escolaridade após 2005;Idade;Mun Trab;Raça Cor;Vl Remun Dezembro Nom;Sexo Trabalhador
212420;62031;04;                  06;  26;355220;02;4860.00;                  01
317110;62015;06;                  06;  41;355220;02;1086.00;                  01
317115;62015;05;                  07;  39;355220;09;1100.00;                  01
317110;62091;03;                  07;  21;355220;02;2174.00;                  01
212420;63119;04;                  07;  26;355220;09;2244.00;                  01
317210;63119;03;                  07;  18;355220;02;730.00;                  01
212405;63119;04;                  07;  26;355220;02;1176.00;                  01
317105;63119;04;                  07;  25;355220;02;975.00;                  01
317205;63119;05;                  07;  37;355220;02;1082.00;                  01
317205;62091;05;                  07;  30;355220;04;1082.00;                  01
317115;63119;03;                  07;  19;355220;09;1100.00;                  01
142505;62023;05;                  07;  31;355220;02;3508.06;                  01
142520;62091;05;                  07;  33;355220;02;1725.08;                  01
212420;62040;06;                  07;  48;355220;02;5603.63;                  01
212420;62040;04;                  07;  25;355220;02;5745.88;                  01
212420;62040;04;                  07;  26;355220;02;1479.54;                  01
212420;62040;03;                  07;  22;355220;02;2480.58;                  01
212420;62040;04;                  07;  29;355220;02;3999.94;                  01
212420;62040;03;                  07;  21;355220;02;1667.34;                  01
317110;62091;03;                  07;  22;355220;09;2499.99;                  01
212420;62015;07;                  07;  50;355220;02;2231.88;                  01
317110;62015;06;                  07;  47;355220;08;2789.24;                  01
212420;62015;05;                  07;  32;355220;02;2082.44;                  01
317110;62091;06;                  07;  43;355220;02;3225.00;                  01
212405;62091;05;                  07;  30;355220;02;5375.00;                  01
317110;62091;05;                  07;  30;355220;02;4300.00;                  01
317110;62091;04;                  07;  27;355220;02;3225.00;                  01
212420;62091;04;                  07;  25;355220;02;2977.34;                  01
212420;62015;03;                  07;  20;355220;02;1244.00;                  01
212420;62031;05;                  07;  33;355220;02;1899.07;                  01
317105;63119;03;                  07;  23;355220;02;826.20;                  01
317105;63119;03;                  07;  23;355220;02;1080.00;                  01
317110;62023;03;                  07;  23;355220;02;1280.00;                  01
317110;62023;03;                  07;  18;355220;02;1480.00;                  01
317210;62015;03;                  07;  24;355220;02;1800.00;                  01
212315;62023;03;                  07;  19;355220;02;820.00;                  01
212315;62023;03;                  07;  20;355220;02;850.00;                  01
317110;62091;04;                  07;  25;355220;02;2495.27;                  01
317110;62091;04;                  07;  27;355220;02;2000.00;                  01
317105;63194;03;                  07;  19;355220;02;743.91;                  01
317105;63194;03;                  07;  22;355220;02;668.14;                  01
212420;62091;05;                  07;  30;355220;09;2450.00;                  01
212420;62091;04;                  07;  26;355220;09;1250.00;                  01
317110;63194;03;                  07;  21;355220;02;1320.00;                  01
142510;63194;05;                  07;  39;355220;02;1629.10;                  01
142520;62091;04;                  07;  28;355220;02;2027.54;                  01
142530;62091;04;                  07;  28;355220;02;2196.43;                  01
212420;62091;04;                  07;  26;355220;02;1786.05;                  01
212420;62091;05;                  07;  36;355220;02;1864.07;                  01
142510;62091;04;                  07;  27;355220;02;1702.69;                  01
142515;62091;05;                  07;  30;355220;02;2988.44;                  01
212420;62091;04;                  07;  26;355220;02;1235.69;                  01
317110;62091;04;                  07;  26;355220;02;1262.50;                  01
212420;62015;03;                  07;  23;355220;04;1563.79;                  01
212420;62015;03;                  07;  22;355220;02;1719.81;                  01
212420;62015;03;                  07;  24;355220;02;3987.45;                  01
212420;62015;03;                  07;  23;355220;02;1690.38;                  01
317210;62015;05;                  07;  36;355220;02;1082.00;                  01
317210;62015;05;                  07;  33;355220;02;1536.64;                  01
317110;62015;04;                  07;  29;355220;04;1400.00;                  01
317110;62015;05;                  07;  35;355220;02;1086.00;                  01
317210;62015;04;                  07;  28;355220;02;1082.00;                  01
317210;62015;04;                  07;  29;355220;02;1082.00;                  01
317210;62015;03;                  07;  20;355220;02;1082.00;                  01
317210;62015;03;                  07;  21;355220;02;1609.92;                  01
317110;63119;05;                  07;  37;355220;09;1558.10;                  01
317205;62031;05;                  08;  30;355220;09;3075.00;                  01
317205;62031;04;                  08;  27;355220;09;2600.00;                  01
317205;62031;03;                  08;  22;355220;09;3302.50;                  01
317205;62031;04;                  08;  25;355220;09;7404.01;                  01
317110;62031;03;                  08;  24;355220;09;1585.33;                  01
317110;62031;03;                  08;  22;355220;09;1736.00;                  01
317205;62031;03;                  08;  23;355220;09;3798.82;                  01
317110;62031;03;                  08;  21;355220;09;1486.25;                  01
317110;62031;03;                  08;  21;355220;09;1892.89;                  01
317110;62031;04;                  08;  25;355220;09;1800.00;                  01
317205;62031;03;                  08;  23;355220;09;3302.50;                  01
317110;62031;03;                  08;  24;355220;09;2000.00;                  01
212405;62031;04;                  08;  25;355220;09;3472.88;                  01
317110;62031;04;                  08;  25;355220;09;1900.50;                  01
317110;62031;04;                  08;  26;355220;09;2050.50;                  01
317110;62031;04;                  08;  25;355220;09;2220.00;                  01
317110;62031;03;                  08;  24;355220;09;2765.00;                  01
317110;62031;04;                  08;  25;355220;09;2400.00;                  01
317110;62031;04;                  08;  25;355220;09;3228.94;                  01
317205;62031;03;                  08;  23;355220;09;3100.00;                  01
317205;62031;03;                  08;  24;355220;09;2784.43;                  01
212405;62091;04;                  08;  26;355220;02;2261.59;                  01
317110;62091;04;                  08;  25;355220;02;1115.00;                  01
317110;62091;03;                  08;  21;355220;02;1026.40;                  01
317110;62091;03;                  08;  23;355220;08;2594.01;                  01
212420;62091;03;                  08;  23;355220;02;2105.71;                  01
317110;62091;03;                  08;  21;355220;02;1115.00;                  01
317110;62091;03;                  08;  21;355220;02;1316.47;                  01
317110;62091;03;                  08;  22;355220;02;1751.92;                  01
317110;62091;03;                  08;  21;355220;02;1555.51;                  01
212420;62091;03;                  08;  22;355220;02;1760.87;                  01
317110;62091;03;                  08;  24;355220;02;1654.99;                  01
317110;62091;03;                  08;  23;355220;02;1026.00;                  01
317115;63119;03;                  08;  23;355220;09;1100.00;                  01
212420;62040;05;                  08;  32;355220;02;14714.68;                  01
212420;62040;05;                  08;  30;355220;02;4687.32;                  01
317110;62091;06;                  08;  40;355220;02;1500.00;                  01
212420;62031;05;                  08;  30;355220;09;4860.00;                  01
212420;62031;04;                  08;  29;355220;09;3262.08;                  01
212405;62031;03;                  08;  23;355220;02;2420.68;                  01
212405;62023;05;                  08;  31;355220;02;2700.00;                  01
317210;62015;03;                  08;  24;355220;02;1827.63;                  01
317110;62015;04;                  08;  25;355220;02;1000.00;                  01
212420;62015;03;                  08;  22;355220;02;2500.00;                  01
317120;62031;05;                  08;  30;355220;02;1200.00;                  01
317110;62031;04;                  08;  25;355220;02;1350.00;                  01
212405;62091;06;                  08;  40;355220;02;3530.58;                  01
142510;62091;03;                  08;  22;355220;02;2035.68;                  01
212420;62091;03;                  08;  24;355220;02;1168.59;                  01
317110;62091;03;                  08;  22;355220;02;1759.14;                  01
212405;62031;04;                  08;  28;355220;02;2705.89;                  01
212405;62040;04;                  08;  25;355220;09;2354.87;                  01
317110;62023;04;                  09;  25;355220;09;2500.00;                  01
212405;62031;07;                  09;  58;355220;09;7755.84;                  01
212405;62031;07;                  09;  56;355220;09;6197.62;                  01
317110;62031;05;                  09;  36;355220;09;13946.88;                  01
212405;62031;05;                  09;  35;355220;09;7081.00;                  01
212405;62031;05;                  09;  38;355220;09;5788.68;                  01
212405;62031;05;                  09;  31;355220;09;3202.50;                  01
212405;62031;05;                  09;  33;355220;09;7782.47;                  01
212205;62031;05;                  09;  39;355220;09;8528.89;                  01
212405;62031;05;                  09;  38;355220;09;6683.71;                  01
317110;62031;05;                  09;  36;355220;09;1754.15;                  01
212405;62031;05;                  09;  33;355220;09;5589.03;                  01
212405;62031;05;                  09;  37;355220;09;5484.81;                  01
212405;62031;05;                  09;  30;355220;09;4125.00;                  01
212405;62031;05;                  09;  31;355220;09;4501.30;                  01
212405;62031;04;                  09;  29;355220;09;3041.00;                  01
212405;62031;05;                  09;  31;355220;09;6199.63;                  01
317110;62031;04;                  09;  29;355220;09;11125.54;                  01
212405;62031;04;                  09;  29;355220;09;4791.95;                  01
212405;62031;05;                  09;  32;355220;09;4125.00;                  01
212405;62031;05;                  09;  31;355220;09;6872.19;                  01
212405;62031;04;                  09;  29;355220;09;11073.49;                  01
212405;62031;04;                  09;  27;355220;09;3181.80;                  01
212405;62031;05;                  09;  30;355220;09;6822.56;                  01
212405;62031;04;                  09;  28;355220;09;9868.20;                  01
317110;62031;05;                  09;  31;355220;09;1862.50;                  01
212405;62031;04;                  09;  26;355220;09;10047.07;                  01
212405;62031;05;                  09;  30;355220;09;5272.63;                  01
212405;62031;03;                  09;  23;355220;09;4169.30;                  01
317110;62031;03;                  09;  24;355220;09;2350.40;                  01
317110;62031;04;                  09;  26;355220;09;2856.57;                  01
317110;62031;03;                  09;  24;355220;09;1900.50;                  01
212405;62031;04;                  09;  28;355220;09;3302.50;                  01
212405;62031;05;                  09;  36;355220;09;5899.85;                  01
212405;62031;05;                  09;  31;355220;09;3144.17;                  01
317110;62031;04;                  09;  25;355220;09;2000.00;                  01
212405;62031;04;                  09;  27;355220;09;6356.87;                  01
212405;62031;05;                  09;  31;355220;09;5990.71;                  01
212405;62031;04;                  09;  28;355220;09;5384.00;                  01
317110;62031;04;                  09;  26;355220;09;2656.43;                  01
212405;62031;04;                  09;  26;355220;09;4614.92;                  01
212405;62031;05;                  09;  30;355220;09;9634.22;                  01
317110;62031;04;                  09;  25;355220;09;2590.00;                  01
317110;62031;03;                  09;  24;355220;09;1600.00;                  01
212405;62031;04;                  09;  29;355220;09;4899.83;                  01
317110;62031;04;                  09;  25;355220;09;2235.00;                  01
212405;62031;05;                  09;  30;355220;09;5895.19;                  01
212405;62031;05;                  09;  30;355220;09;3302.50;                  01
212405;62031;05;                  09;  30;355220;09;5432.07;                  01
212405;62031;04;                  09;  29;355220;09;5276.50;                  01
212405;62031;04;                  09;  26;355220;09;3852.00;                  01
212405;62031;05;                  09;  30;355220;09;6910.52;                  01
212405;62031;04;                  09;  26;355220;09;3958.75;                  01
317110;62031;04;                  09;  28;355220;09;2842.82;                  01
212405;62031;04;                  09;  28;355220;09;4068.68;                  01
212405;62031;04;                  09;  28;355220;09;3394.85;                  01
212405;62031;04;                  09;  29;355220;09;7353.11;                  01
212405;62031;04;                  09;  29;355220;09;7670.36;                  01
317110;62031;06;                  09;  40;355220;09;11835.05;                  01
212405;62031;04;                  09;  26;355220;09;3302.50;                  01
212405;62031;05;                  09;  33;355220;09;5069.00;                  01
212405;62031;05;                  09;  33;355220;09;8000.50;                  01
212405;62031;04;                  09;  28;355220;09;3596.01;                  01
212405;62031;04;                  09;  25;355220;09;4300.00;                  01
212405;62031;04;                  09;  27;355220;09;3303.78;                  01
317110;62031;04;                  09;  26;355220;09;2460.00;                  01
212405;62091;05;                  09;  32;355220;02;4637.80;                  01
212405;62091;05;                  09;  31;355220;02;4200.00;                  01
212405;62091;05;                  09;  32;355220;02;5322.25;                  01
212405;62091;04;                  09;  26;355220;02;3957.98;                  01
317110;62091;04;                  09;  27;355220;02;2783.13;                  01
212405;62091;03;                  09;  23;355220;02;1490.28;                  01
212405;62040;06;                  09;  45;355220;02;1600.00;                  01
142505;62040;05;                  09;  32;355220;02;3214.79;                  01
212405;62040;05;                  09;  38;355220;02;1600.00;                  01
212405;62040;04;                  09;  27;355220;02;2500.00;                  01
212405;62040;04;                  09;  28;355220;02;1600.00;                  01
212405;62040;03;                  09;  23;355220;02;1600.00;                  01
317105;63119;04;                  09;  28;355220;02;1000.00;                  01
317110;62015;03;                  09;  22;355220;02;1397.50;                  01
